"Blocking Key Value","Frequency"
"FISERI,MAMZAP,FISACI,MAMODO,MAMURS,INSDRO","14"
"MAMLEP,MAMMAR","13"
"INSCAL,BIRPIP,MAMMUS,MAMURO,INSICA,BIRPUF,REPLEP","12"
"FISPHO,BIRNUM","11"
"FISEUC,FISMEN,FISHYB,FISCHR,BIRPTE,MAMCOR,MAMLAS,FISICT,INSTRI","10"
"INSPSE,BIRAPH,BIRHEM,BIRMYA","9"
"FISPLA,REPMAS,AMPNEC,INSRHA,BIRACC","8"
"BIRERE,BIROCE,FISELA,INSZAP,REPKIN,MAMREI","7"
"MAMHER,BIRMEG,REPGRA,INSLYC,REPGOP,MAMCYN,REPCAR,MAMGLA","6"
"FISXYR,FISAMB,FISCRY,BIRCOC,BIRFUL,REPCLE,BIRAGE,MAMAPL,BIRCAP,MAMEUM","5"
"FISGIL","88"
"BIRAMP,BIRGYM,BIRPHO,BIRLAN,REPCHE,BIRTYM,INSHES,MAMORY,INSEUC,BIRCAM,AMPCRY,MAMANT,BIRGRU,FISGAS,MAMLYN,INSSPE,REPANO,MAMENH","4"
"AMPPLE,MAMMYO","78"
"MAMPUM,REPSIS,BIRPSI,BIRHAL,FISDIO,MAMBIS,INSSTR,REPGAM,MAMRAN,FISPTY,REPSTE,INSHYP","3"
"AMPEUR","77"
"BIRAMA,BIRROS,REPERE,BIRDRE,BIRSOM,REPUMA,MAMLEO,BIRPSE,REPCHI,INSHET,BIRZOS,BIRHIM,INSAPO,INSCYC,BIRAER,BIRACR,FISPOE,BIRCEN,BIRTEL","2"
"REPCRO","70"
"FISMED,REPDRY,INSDES,INSGLA,BIRLAT,INSISC,BIRRHY,INSELA,MAMBRA,INSHER,REPDER,INSPYR,MAMPEK,INSBOL,INSANA,INSNIC,INSLED,FISDEL,INSPOL,MAMTRI,BIRMOH,BIRPAL,BIRMYC,INSMAN,MAMPAN,INSSOM","1"
"FISCAT","66"
"FISRHI,MAMTHO","60"
"BIRCHA","57"
"AMPBUF,MAMNEO","56"
"BIRSTE","54"
"MAMMIC","52"
"FISETH","720"
"FISNOT","690"
"MAMPER","360"
"FISCYP","225"
"AMPRAN","174"
"FISPER,FISONC","126"
"REPTHA","124"
"MAMDIP","114"
"FISLEP","96"
"AMPAMB","95"
"FISCHA","48"
"BIRDEN","43"
"INSMEG,BIRPAR","42"
"BIRANA","40"
"FISHYP","38"
"BIRLOX","36"
"FISCOT,BIRBRA","34"
"BIRCOR","33"
"BIRCAL","32"
"BIRMEL,MAMTAM,MAMSOR","31"
"REPNER,BIRSTR,FISSAL","30"
"BIRCOL,MAMSYL,BIRSET,BIRRAL","28"
"BIRPOL","27"
"BIRVIR","26"
"BIRPIC","25"
"INSEUP,AMPANA,FISGAM,INSNEO","24"
"BIRBUT","23"
"FISSCA","22"
"BIRGAL","21"
"REPPIT,BIRAMM,MAMOVI,BIRVER","20"
"FISFUN,BIRFAL","18"
"BIREMP","17"
"AMPBAT,MAMCAN,BIRORE,INSBOM,MAMVUL,REPPSE","16"
"INSCIC,AMPELE,REPEUM","15"
